Member,Role,Project,WorkingDays,PTO,Holidays,Meetings,AvailableDays,AvailableHours,StoryPoints
@john.smith,Developer,Rockapedia,10,0,1,1,8,64,8
@john.smith,Developer,GLIR,10,0,1,1,8,64,8
@jane.doe,Developer,Rockapedia,10,2,1,1,6,48,6
@jane.doe,Developer,Stratigraphy,10,2,1,1,6,48,6
@bob.wilson,QA,Rockapedia,10,0,1,2,7,56,7
@bob.wilson,QA,GLIR,10,0,1,2,7,56,7
@bob.wilson,QA,Stratigraphy,10,0,1,2,7,56,7
@bob.wilson,QA,GOR,10,0,1,2,7,56,7
@alice.chen,Developer,GLIR,10,1,1,1,7,56,7
@alice.chen,Developer,GOR,10,1,1,1,7,56,7
@mike.johnson,Tech Lead,Rockapedia,10,0,1,3,6,48,6
@mike.johnson,Tech Lead,GLIR,10,0,1,3,6,48,6
@mike.johnson,Tech Lead,Stratigraphy,10,0,1,3,6,48,6
@mike.johnson,Tech Lead,GOR,10,0,1,3,6,48,6
